placeDcid,placeName,Date:Median_Age_Person,Value:Median_Age_Person,Source:Median_Age_Person,Date:Median_Income_Person,Value:Median_Income_Person,Source:Median_Income_Person,Date:Count_Person,Value:Count_Person,Source:Count_Person,Date:Count_HousingUnit,Value:Count_HousingUnit,Source:Count_HousingUnit,Date:Monthly_Median_GrossRent_HousingUnit,Value:Monthly_Median_GrossRent_HousingUnit,Source:Monthly_Median_GrossRent_HousingUnit
zip/10037,10037,2017,34.4,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,26686,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,21184,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,10534,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10038,10038,2017,35.6,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,50134,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,22457,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,11508,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10039,10039,2017,32.8,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,21126,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,27203,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,11827,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10040,10040,2017,36.6,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,21998,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,46003,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,17309,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10044,10044,2017,41.5,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,52426,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,11945,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,5429,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10065,10065,2017,40.3,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,82469,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,29565,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,21614,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10069,10069,2017,35.4,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,94753,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,5195,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,3625,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10075,10075,2017,42.6,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,68785,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,22818,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,12954,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10103,10103,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10110,10110,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10111,10111,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10112,10112,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10115,10115,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10119,10119,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10128,10128,2017,38.7,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,68683,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,62743,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,35160,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10152,10152,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10153,10153,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10154,10154,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10162,10162,2017,43.6,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,92452,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,1324,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,709,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10165,10165,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10167,10167,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10168,10168,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10169,10169,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10170,10170,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10171,10171,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10172,10172,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10173,10173,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10174,10174,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10177,10177,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10199,10199,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10271,10271,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10278,10278,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10279,10279,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10280,10280,2017,38.2,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,101336,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,9820,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,5347,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10282,10282,2017,35.3,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,129028,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,5644,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,2900,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10301,10301,2017,37.9,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,30793,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,39451,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,16293,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10302,10302,2017,33.6,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,31234,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,18539,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,6807,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10303,10303,2017,31.9,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,31727,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,25804,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,9240,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10304,10304,2017,38.3,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,28087,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,41884,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,16178,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
